"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.99","83.58","RMA","20230911"
"GBP","102.15","104.95","103.51","104.21","RMA","20230911"
"EUR","87.75","90.20","88.93","89.54","RMA","20230911"
"JPY","55.55","57.10","56.28","56.69","RMA","20230911"
"CHF","91.80","94.40","93.04","93.74","RMA","20230911"
"HKD","10.45","10.75","10.59","10.66","RMA","20230911"
"CAD","60.00","61.70","60.81","61.24","RMA","20230911"
"AUD","52.30","53.75","53.00","53.36","RMA","20230911"
"SGD","60.00","61.70","60.82","61.27","RMA","20230911"
"DKK","11.75","12.10","11.92","12.01","RMA","20230911"
"SEK","7.35","7.60","7.47","7.52","RMA","20230911"
"NOK","7.65","7.85","7.74","7.79","RMA","20230911"
"USD","81.7","84.25","82.74","83.31","BOB","20230911"
"USD.5.20","79.25","","","","BOB","20230911"
"USD.12","77.62","","","","BOB","20230911"
"GBP","101.9","104.75","103.29","103.98","BOB","20230911"
"EUR","87.4","89.8","88.57","89.17","BOB","20230911"
"JPY","55.45","57","56.18","56.58","BOB","20230911"
"CHF","91.55","94.1","92.78","93.43","BOB","20230911"
"HKD","10.4","10.7","10.55","10.63","BOB","20230911"
"CAD","59.7","61.4","60.53","60.97","BOB","20230911"
"AUD","52.2","53.65","52.91","53.26","BOB","20230911"
"SGD","59.85","61.55","60.66","61.09","BOB","20230911"
"DKK","11.7","12.05","11.87","11.95","BOB","20230911"
"SEK","7.35","7.55","7.43","7.48","BOB","20230911"
"NOK","7.65","7.85","7.75","7.81","BOB","20230911"
"USD","81.70","84.25","82.74","83.31","TBL","20230911"
"USD.5.20","79.25","","","","TBL","20230911"
"USD.12","77.62","","","","TBL","20230911"
"GBP","101.90","104.75","103.29","103.98","TBL","20230911"
"EUR","87.40","89.80","88.57","89.17","TBL","20230911"
"JPY","55.45","57.00","56.18","56.58","TBL","20230911"
"CHF","91.55","94.10","92.78","93.43","TBL","20230911"
"HKD","10.40","10.70","10.55","10.63","TBL","20230911"
"CAD","59.70","61.40","60.53","60.97","TBL","20230911"
"AUD","52.30","53.75","52.91","53.36","TBL","20230911"
"SGD","59.85","61.55","60.66","61.09","TBL","20230911"
"DKK","11.70","12.05","11.87","11.95","TBL","20230911"
"SEK","7.35","7.55","7.43","7.48","TBL","20230911"
"NOK","7.65","7.85","7.75","7.81","TBL","20230911"
