"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.98","83.56","RMA","20231221"
"GBP","04.00","106.85","105.40","106.11","RMA","20231221"
"EUR","89.60","92.05","90.81","91.42","RMA","20231221"
"JPY","56.65","58.25","57.41","57.82","RMA","20231221"
"CHF","94.50","97.20","95.80","96.48","RMA","20231221"
"HKD","10.50","10.80","10.64","10.71","RMA","20231221"
"CAD","61.15","62.90","61.98","62.43","RMA","20231221"
"AUD","55.15","56.65","55.88","56.23","RMA","20231221"
"SGD","61.45","63.20","62.27","62.73","RMA","20231221"
"DKK","12.00","12.35","12.18","12.26","RMA","20231221"
"SEK","8.00","8.25","8.13","8.19","RMA","20231221"
"NOK","7.90","8.15","8.01","8.07","RMA","20231221"
"USD","81.95","84.5","82.97","83.55","BOB","20231221"
"USD.5.20","79.49","","","","BOB","20231221"
"USD.12","77.85","","","","BOB","20231221"
"GBP","103.8","106.65","105.19","105.9","BOB","20231221"
"EUR","89.75","92.25","90.97","91.59","BOB","20231221"
"JPY","57.1","58.7","57.85","58.26","BOB","20231221"
"CHF","95","97.7","96.28","97","BOB","20231221"
"HKD","10.5","10.8","10.63","10.71","BOB","20231221"
"CAD","61.4","63.15","62.24","62.68","BOB","20231221"
"AUD","55.4","56.95","56.14","56.52","BOB","20231221"
"SGD","61.55","63.3","62.41","62.87","BOB","20231221"
"DKK","12.05","12.35","12.2","12.29","BOB","20231221"
"SEK","8.05","8.3","8.17","8.23","BOB","20231221"
"NOK","7.95","8.2","8.08","8.13","BOB","20231221"
"USD","81.95","84.50","82.98","83.56","TBL","20231221"
"USD.5.20","79.49","","","","TBL","20231221"
"USD.12","77.85","","","","TBL","20231221"
"GBP","104.00","106.85","105.40","106.11","TBL","20231221"
"EUR","89.60","92.05","90.81","91.42","TBL","20231221"
"JPY","56.65","58.25","57.41","57.82","TBL","20231221"
"CHF","94.50","97.20","95.80","96.48","TBL","20231221"
"HKD","10.50","10.80","10.64","10.71","TBL","20231221"
"CAD","61.15","62.90","61.98","62.43","TBL","20231221"
"AUD","54.15","56.65","55.88","56.23","TBL","20231221"
"SGD","61.45","63.20","62.27","62.73","TBL","20231221"
"DKK","12.00","12.35","12.18","12.26","TBL","20231221"
"SEK","8.00","8.25","8.13","8.19","TBL","20231221"
"NOK","7.90","8.15","8.01","8.07","TBL","20231221"
