"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.10","84.70","83.14","83.76","RMA","20231128"
"GBP","102.95","105.85","104.35","105.10","RMA","20231128"
"EUR","89.45","91.95","90.66","91.31","RMA","20231128"
"JPY","54.85","56.40","55.57","55.99","RMA","20231128"
"CHF","92.75","95.45","94.02","94.76","RMA","20231128"
"HKD","10.50","10.80","10.67","10.75","RMA","20231128"
"CAD","59.90","61.65","60.71","61.18","RMA","20231128"
"AUD","53.85","55.35","54.59","54.96","RMA","20231128"
"SGD","61.15","62.90","61.97","62.44","RMA","20231128"
"DKK","12.00","12.35","12.16","12.25","RMA","20231128"
"SEK","7.80","8.05","7.92","7.98","RMA","20231128"
"NOK","7.60","7.85","7.72","7.78","RMA","20231128"
"USD","82.15","84.75","83.19","83.82","BOB","20231128"
"USD.5.20","79.69","","","","BOB","20231128"
"USD.12","78.04","","","","BOB","20231128"
"GBP","103.45","106.4","104.86","105.64","BOB","20231128"
"EUR","89.85","92.4","91.08","91.74","BOB","20231128"
"JPY","54.95","56.55","55.71","56.14","BOB","20231128"
"CHF","93.1","95.8","94.34","95.11","BOB","20231128"
"HKD","10.55","10.85","10.68","10.76","BOB","20231128"
"CAD","60.1","61.8","60.91","61.37","BOB","20231128"
"AUD","54.1","55.65","54.86","55.23","BOB","20231128"
"SGD","61.3","63.1","62.15","62.64","BOB","20231128"
"DKK","12.05","12.4","12.21","12.31","BOB","20231128"
"SEK","7.9","8.1","7.99","8.05","BOB","20231128"
"NOK","7.65","7.9","7.77","7.83","BOB","20231128"
"USD","82.10","84.70","83.14","83.76","TBL","20231128"
"USD.5.20","79.64","","","","TBL","20231128"
"USD.12","78.00","","","","TBL","20231128"
"GBP","102.95","105.85","104.35","105.10","TBL","20231128"
"EUR","89.45","91.95","90.66","91.31","TBL","20231128"
"JPY","54.85","56.40","55.57","55.99","TBL","20231128"
"CHF","92.75","95.45","94.02","94.76","TBL","20231128"
"HKD","10.50","10.80","10.67","10.75","TBL","20231128"
"CAD","59.90","61.65","60.71","61.18","TBL","20231128"
"AUD","53.85","55.35","54.59","54.94","TBL","20231128"
"SGD","61.15","62.90","61.97","62.44","TBL","20231128"
"DKK","12.00","12.35","12.16","12.25","TBL","20231128"
"SEK","7.80","8.05","7.92","7.98","TBL","20231128"
"NOK","7.60","7.85","7.72","7.78","TBL","20231128"
