"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.99","83.57","RMA","20230930"
"GBP","99.85","102.65","101.22","101.91","RMA","20230930"
"EUR","86.30","88.70","87.48","88.06","RMA","20230930"
"JPY","54.85","56.40","55.61","56.00","RMA","20230930"
"CHF","89.30","91.80","90.49","91.14","RMA","20230930"
"HKD","10.45","10.75","10.60","10.68","RMA","20230930"
"CAD","60.70","62.40","61.53","61.97","RMA","20230930"
"AUD","52.35","53.80","53.04","53.39","RMA","20230930"
"SGD","59.75","61.45","60.58","61.01","RMA","20230930"
"DKK","11.55","11.90","11.73","11.81","RMA","20230930"
"SEK","7.45","7.65","7.54","7.60","RMA","20230930"
"NOK","7.65","7.85","7.75","7.81","RMA","20230930"
"USD","81.85","84.4","82.87","83.45","BOB","20230930"
"USD.5.20","79.39","","","","BOB","20230930"
"USD.12","77.76","","","","BOB","20230930"
"GBP","100.2","103","101.56","102.24","BOB","20230930"
"EUR","86.6","89.05","87.79","88.39","BOB","20230930"
"JPY","54.8","56.35","55.53","55.94","BOB","20230930"
"CHF","89.55","92.1","90.76","91.44","BOB","20230930"
"HKD","10.45","10.75","10.58","10.66","BOB","20230930"
"CAD","60.9","62.6","61.71","62.15","BOB","20230930"
"AUD","53.05","54.5","53.75","54.12","BOB","20230930"
"SGD","59.95","61.65","60.77","61.21","BOB","20230930"
"DKK","11.6","11.95","11.77","11.86","BOB","20230930"
"SEK","7.5","7.75","7.62","7.67","BOB","20230930"
"NOK","7.7","7.9","7.8","7.86","BOB","20230930"
"USD","81.95","84.50","82.99","83.57","TBL","20230930"
"USD.5.20","79.49","","","","TBL","20230930"
"USD.12","77.85","","","","TBL","20230930"
"GBP","99.85","102.65","101.22","101.91","TBL","20230930"
"EUR","86.30","88.70","87.48","88.06","TBL","20230930"
"JPY","54.85","56.40","55.61","56.00","TBL","20230930"
"CHF","89.30","91.80","90.49","91.14","TBL","20230930"
"HKD","10.45","10.75","10.60","10.68","TBL","20230930"
"CAD","60.70","62.40","61.53","61.97","TBL","20230930"
"AUD","52.35","53.80","53.04","53.39","TBL","20230930"
"SGD","59.75","61.45","60.58","61.01","TBL","20230930"
"DKK","11.55","11.90","11.73","11.81","TBL","20230930"
"SEK","7.45","7.65","7.54","7.60","TBL","20230930"
"NOK","7.65","7.85","7.75","7.81","TBL","20230930"
